2 100
(0.03838520955223956, 0.6899993186219401)
(0.2550060325376985, 0.6912740250859242)
(0.5362916528931371, 0.6857292854963936)
(0.27387800395220163, 0.586534170909861)
(0.15015314993709683, 0.18959818946802698)
(0.46587812046429466, 0.3367195120583706)
(0.6857260656070403, 0.8217522591833053)
(0.5316506953092793, 0.11694263016446704)
(0.7718166269532276, 0.3049693733649188)
(0.08407844327514846, 0.6368289079165523)
(0.324045593289508, 0.1620957537036175)
(0.5489687202293846, 0.7727681234839271)
(0.45053168247443887, 0.6970314040249329)
(0.31957943582283244, 0.2786188646196993)
(0.44527131313575974, 0.6451229618674451)
(0.571275726071252, 0.2628620247199608)
(0.8265540614083765, 0.5179540669065852)
(0.869343509806521, 0.9026127418651366)
(0.11893202910967149, 0.7069417991913288)
(0.9957934710094439, 0.7849734749348453)
(0.5456025686535412, 0.37435167502609656)
(0.02098442953963575, 0.37774823477943253)
(0.08943678720185444, 0.5774316483890032)
(0.35178206582113414, 0.17098337457964485)
(0.6406898189728528, 0.5325727674998112)
(0.8070690781568536, 0.37184776142223464)
(0.6894526182201303, 0.7349484311887422)
(0.9896873765120093, 0.08242796531817587)
(0.7683927857651324, 0.9666081176351912)
(0.7015813899708244, 0.7837177922473093)
(0.8496569838257245, 0.7402678782085981)
(0.6287810397115026, 0.6645643347865446)
(0.8273505119796508, 0.5672818934610099)
(0.4773059695275492, 0.6648956390030543)
(0.9534812141470257, 0.5266620970340694)
(0.6299343142028989, 0.7681358908382794)
(0.19750206350075772, 0.0938840086489362)
(0.7801892643941942, 0.1696982448362383)
(0.548312843106644, 0.43367578068283685)
(0.27105942158264906, 0.17343986168893566)
(0.15462149243123957, 0.7130244927163936)
(0.23102170506863529, 0.07393865060796023)
(0.1760686107044257, 0.7649782620455559)
(0.5530223505913356, 0.2023774091240742)
(0.8449285015793944, 0.59768598950914)
(0.9897510014300749, 0.865914413709495)
(0.6473148469303514, 0.993064002844923)
(0.2504184430393904, 0.14708591952257855)
(0.6894137707651897, 0.3377640002449369)
(0.2893835791173327, 0.007968929186820572)
(0.0995017726177938, 0.8296935844318006)
(0.06997017474108791, 0.9805944377349269)
(0.5512739982631527, 0.6069390006264235)
(0.7894743238807964, 0.7764092804270767)
(0.644681016083214, 0.7163339559695382)
(0.9705672012313784, 0.2268276037227246)
(0.7142414305086828, 0.9373786364272173)
(0.18879655530371386, 0.9350383539283268)
(0.5596563737721392, 0.3291960720712822)
(0.6733773646566905, 0.13535396349732742)
(0.8510786967047275, 0.8142536913068107)
(0.8295094673991154, 0.8925685056286724)
(0.053593430216403726, 0.12021139946623938)
(0.8681571864380352, 0.6848371531113868)
(0.7961621847603894, 0.7528180190283096)
(0.9919934845074271, 0.7242535395954067)
(0.22242528962192398, 0.9291058053589732)
(0.44730221287163474, 0.18200287514660418)
